Team,Year,Rank,T_Rank
Night Train,1992,11,T11
Port City Slickers,1992,12,T11
New York,1993,1,1
Double Happiness,1993,2,2
Big Brother,1993,3,T3
Rhino Slam!,1993,4,T3
Night Train,1993,5,T5
Ring Of Fire,1993,6,T5
Refugees,1993,7,T7
South Coast,1993,8,T7
Windy City,1993,9,T9
Trouble Club,1993,10,T9
Graffiti,1993,11,T11
Chain Lightning,1993,12,T11
Death Or Glory,1994,1,1
Double Happiness,1994,2,2
Chesapeake,1994,3,T3
Cojones,1994,4,T3
Z,1994,5,T5
Ring Of Fire,1994,6,T5
Big River,1994,7,T7
Boulder Stains,1994,8,T7
Refugees,1994,9,T9
Chain Lightning,1994,10,T9
Cornell,1994,11,T11
Rhino Slam!,1994,12,T11
Death Or Glory,1995,1,1
Sockeye,1995,2,2
Cojones,1995,3,T3
Double Happiness,1995,4,T3
Port City Slickers,1995,5,T5
Chain Lightning,1995,6,T5
Refugees,1995,7,T7
San Diego,1995,8,T7
Z,1995,9,T9
Ring Of Fire,1995,10,T9
Lemon,1995,11,T11
Cornell,1995,12,T11
Death Or Glory,1996,1,1
Sockeye,1996,2,2
Z,1996,3,T3
Nice Guys,1996,4,T3
Refugees,1996,5,T5
Chain Lightning,1996,6,T5
Rage,1996,7,T7
Snapple,1996,8,T7
Boulder Beer,1996,9,T9
Saucy Jack,1996,10,T9
Randall'S Island,1996,11,T11
Huckin' Foosiers,1996,12,T11
Port City Slickers,1996,13,T13
Big Ass Truck,1996,14,T13
Death Or Glory,1997,1,1
Sockeye,1997,2,2
Z,1997,3,T3
Ring Of Fire,1997,4,T3
Wudi,1997,5,T5
Double Happiness,1997,6,T5
Anodyne,1997,7,T7
Condors,1997,8,T7
Pump House 5,1997,9,T9
Roq,1997,10,T9
Chain Lightning,1997,11,T11
Johnny Bravo,1997,12,T11
Big Ass Truck,1997,13,T13
Houndz,1997,14,T13
Death Or Glory,1998,1,1
Condors,1998,2,2
Ring Of Fire,1998,3,T3
Wsl,1998,4,T3
Furious George,1998,5,T5
Houndz,1998,6,T5
Sub Zero,1998,7,T7
Parking Lot Jam,1998,8,T7
Z,1998,9,T9
Refugees,1998,10,T9
Rage,1998,11,T11
Los Guapos,1998,12,T11
Pump House 5,1998,13,T13
Red Tide,1998,14,T13
Death Or Glory,1999,1,1
Condors,1999,2,2
Sub Zero,1999,3,T3
Furious George,1999,4,T3
Ring Of Fire,1999,5,T5
JAM,1999,6,T5
Blaze Of Glory,1999,7,T5
Houndz,1999,8,T5
Madison,1999,9,9
Anodyne,1999,10,10
Wsl,1999,11,11
Florida,1999,12,12
Secret Squirrel,1999,13,13
Booty Quake,1999,14,14
Second Wind,1999,15,15
Red Tide,1999,16,16
Condors,2000,1,1
Furious George,2000,2,2
Death Or Glory,2000,3,T3
JAM,2000,4,T3
Ring Of Fire,2000,5,5
Florida,2000,6,6
Sockeye,2000,7,7
Sub Zero,2000,8,8
Fbi,2000,9,9
Bomb Squad,2000,10,10
Cbass,2000,11,11
Madison,2000,12,12
Second Wind,2000,13,13
Johnny Bravo,2000,14,14
Houndz,2000,15,15
Blackjack,2000,16,16
Condors,2001,1,1
JAM,2001,2,2
Death Or Glory,2001,3,T3
Furious George,2001,4,T3
Sub Zero,2001,5,5
Johnny Bravo,2001,6,6
Electric Pig,2001,7,7
New York,2001,8,8
Sockeye,2001,9,9
Bonzi,2001,10,10
Madison,2001,11,11
Warriors,2001,12,12
Ring Of Fire,2001,13,13
Florida,2001,14,14
Big Ass Truck,2001,15,15
Doublewide,2001,16,16
Furious George,2002,1,1
Ring Of Fire,2002,2,2
Death Or Glory,2002,3,T3
Sockeye,2002,4,T3
Condors,2002,5,T5
Johnny Bravo,2002,6,T5
Chain Lightning,2002,7,T7
Sub Zero,2002,8,T7
Boss Hogg,2002,9,9
Pike,2002,10,10
Vicious Cycle,2002,11,11
Machine,2002,12,12
New York,2002,13,13
Streetgang,2002,14,14
Electric Pig,2002,15,15
Madison,2002,16,16
Furious George,2003,1,1
Condors,2003,2,2
JAM,2003,3,T3
Ring Of Fire,2003,4,T3
Death Or Glory,2003,5,T5
Sockeye,2003,6,T5
Doublewide,2003,7,T7
Johnny Bravo,2003,8,T7
G-Unit,2003,9,9
Chain Lightning,2003,10,10
Boss Hogg,2003,11,11
Vicious Cycle,2003,12,12
Big Ass Truck,2003,13,13
Pike,2003,14,14
Electric Pig,2003,15,15
Sub Zero,2003,16,16
Sockeye,2004,1,1
JAM,2004,2,2
Furious George,2004,3,T3
Pike,2004,4,T3
Death Or Glory,2004,5,5
Johnny Bravo,2004,6,6
Condors,2004,7,T7
Ring Of Fire,2004,8,T7
Big Ass Truck,2004,9,9
Doublewide,2004,10,10
Kaos,2004,11,11
Chain Lightning,2004,12,12
Sub Zero,2004,13,13
Electric Pig,2004,14,14
Goat,2004,15,15
Machine,2004,16,16
Furious George,2005,1,1
Sockeye,2005,2,2
JAM,2005,3,T3
Death Or Glory,2005,4,T3
Johnny Bravo,2005,5,5
Sub Zero,2005,6,6
Pike,2005,7,7
Doublewide,2005,8,8
Condors,2005,9,9
Potomac,2005,10,10
Metal,2005,11,11
Big Ass Truck,2005,12,12
Ring Of Fire,2005,13,13
Chain Lightning,2005,14,14
Vicious Cycle,2005,15,15
Streetgang,2005,16,16
Sockeye,2006,1,1
Furious George,2006,2,2
Chain Lightning,2006,3,T3
Johnny Bravo,2006,4,T3
Revolver,2006,5,5
Rhino Slam!,2006,6,6
Death Or Glory,2006,7,T7
Ring Of Fire,2006,8,T7
Metal,2006,9,9
Sub Zero,2006,10,10
Condors,2006,11,11
Machine,2006,12,12
Vicious Cycle,2006,13,13
Truck Stop,2006,14,14
Big Ass Truck,2006,15,15
Monster,2006,16,16
Sockeye,2007,1,1
Johnny Bravo,2007,2,2
Goat,2007,3,T3
JAM,2007,4,T3
Boston Ultimate,2007,5,T5
Truck Stop,2007,6,T5
Chain Lightning,2007,7,T7
Sub Zero,2007,8,T7
Furious George,2007,9,9
Condors,2007,10,10
Ring Of Fire,2007,11,11
Machine,2007,12,12
Rhino Slam!,2007,13,13
Doublewide,2007,14,14
Pike,2007,15,15
The Van Buren Boys,2007,16,16
JAM,2008,1,1
Ironside,2008,2,2
Chain Lightning,2008,3,T3
Johnny Bravo,2008,4,T3
Revolver,2008,5,5
Goat,2008,6,6
Ring Of Fire,2008,7,T7
Sockeye,2008,8,T7
Sub Zero,2008,9,9
Machine,2008,10,10
Doublewide,2008,11,11
Bodhi,2008,12,12
Condors,2008,13,13
Pony,2008,14,14
Truck Stop,2008,15,15
El Diablo,2008,16,16
Chain Lightning,2009,1,1
Revolver,2009,2,2
Ironside,2009,3,T3
Sockeye,2009,4,T3
Doublewide,2009,5,5
Ring Of Fire,2009,6,6
JAM,2009,7,7
Johnny Bravo,2009,8,8
Truck Stop,2009,9,9
Madison Club,2009,10,10
Bodhi,2009,11,11
Goat,2009,12,12
Madcow,2009,13,13
Machine,2009,14,14
Streetgang,2009,15,15
Pike,2009,16,16
Revolver,2010,1,1
Ironside,2010,2,2
Doublewide,2010,3,T3
Sockeye,2010,4,T3
Chain Lightning,2010,5,T5
Truck Stop,2010,6,T5
Ring Of Fire,2010,7,T7
Southpaw,2010,8,T7
Johnny Bravo,2010,9,9
Pony,2010,10,10
Madison Club,2010,11,11
Furious George,2010,12,12
Machine,2010,13,13
Tanasi,2010,14,14
Streetgang,2010,15,15
Madcow,2010,16,16
Revolver,2011,1,1
Ironside,2011,2,2
Chain Lightning,2011,3,T3
Doublewide,2011,4,T3
Ring Of Fire,2011,5,5
Southpaw,2011,6,6
Madison Club,2011,7,7
Goat,2011,8,8
Machine,2011,9,9
Truck Stop,2011,10,10
Johnny Bravo,2011,11,11
Oakland,2011,12,12
Furious George,2011,13,13
Condors,2011,14,14
Sub Zero,2011,15,15
Tanasi,2011,16,16
Doublewide,2012,1,1
Revolver,2012,2,2
Ironside,2012,3,T3
Ring Of Fire,2012,4,T3
Machine,2012,5,5
Goat,2012,6,6
Chain Lightning,2012,7,T7
Sockeye,2012,8,T7
Madison Club,2012,9,9
Rhino Slam!,2012,10,10
Furious George,2012,11,11
Johnny Bravo,2012,12,12
Sub Zero,2012,13,T13
Truck Stop,2012,14,T13
Boost Mobile,2012,15,15
Pony,2012,16,16
Revolver,2013,1,1
Sockeye,2013,2,2
Ironside,2013,3,3
Johnny Bravo,2013,4,4
Doublewide,2013,5,5
Machine,2013,6,6
Chain Lightning,2013,7,T7
Goat,2013,8,T7
Pony,2013,9,T9
Sub Zero,2013,10,T9
Ring Of Fire,2013,11,11
Florida United,2013,12,12
Condors,2013,13,13
Furious George,2013,14,14
Truck Stop,2013,15,15
Madcow,2013,16,16
Johnny Bravo,2014,1,1
Ironside,2014,2,2
Goat,2014,3,T3
Ring Of Fire,2014,4,T3
Revolver,2014,5,5
Rhino Slam!,2014,6,6
Truck Stop,2014,7,T7
Chain Lightning,2014,8,T7
Sockeye,2014,9,T9
Doublewide,2014,10,T9
Pony,2014,11,11
Temper,2014,12,12
Furious George,2014,13,13
Machine,2014,14,14
Prairie Fire,2014,15,15
Sub Zero,2014,16,16
Revolver,2015,1,1
Sockeye,2015,2,2
Machine,2015,3,T3
Ironside,2015,4,T3
Doublewide,2015,5,5
Ring Of Fire,2015,6,6
Truck Stop,2015,7,T7
Prairie Fire,2015,8,T7
Madison Club,2015,9,T9
Sub Zero,2015,10,T9
Patrol,2015,11,11
Goat,2015,12,12
High Five,2015,13,13
Johnny Bravo,2015,14,14
Rhino Slam!,2015,15,T15
Florida United,2015,16,T15
Ironside,2016,1,1
Revolver,2016,2,2
Johnny Bravo,2016,3,T3
Ring Of Fire,2016,4,T3
Sockeye,2016,5,T5
Truck Stop,2016,6,T5
High Five,2016,7,T7
Patrol,2016,8,T7
Doublewide,2016,9,T9
Furious George,2016,10,T9
Prairie Fire,2016,11,11
H.I.P.,2016,12,12
Madison Club,2016,13,13
Machine,2016,14,14
DiG,2016,15,T15
Pony,2016,16,T15
Revolver,2017,1,1
Doublewide,2017,2,2
Ring Of Fire,2017,3,3
Truck Stop,2017,4,4
Ironside,2017,5,5
DiG,2017,6,6
Pony,2017,7,7
Sub Zero,2017,8,8
Florida United,2017,9,T9
Johnny Bravo,2017,10,T9
Machine,2017,11,11
Sockeye,2017,12,12
High Five,2017,13,13
Goat,2017,14,14
Condors,2017,15,15
Patrol,2017,16,16
Pony,2018,1,1
Revolver,2018,2,2
Sockeye,2018,3,T3
Ring Of Fire,2018,4,T3
Truck Stop,2018,5,5
Doublewide,2018,6,6
Sub Zero,2018,7,T7
High Five,2018,8,T7
Furious George,2018,9,T9
Machine,2018,10,T9
Johnny Bravo,2018,11,11
Temper,2018,12,12
Rhino Slam!,2018,13,13
Madison Club,2018,14,14
Chain Lightning,2018,15,15
DiG,2018,16,16
Sockeye,2019,1,1
Machine,2019,2,2
Ring Of Fire,2019,3,T3
Pony,2019,4,T3
Truck Stop,2019,5,5
Revolver,2019,6,6
Rhino Slam!,2019,7,T7
Sub Zero,2019,8,T7
Doublewide,2019,9,T9
Furious George,2019,10,T9
Condors,2019,11,11
Temper,2019,12,12
Goat,2019,13,13
DiG,2019,14,14
Johnny Bravo,2019,15,15
Chain Lightning,2019,16,16
Ring of Fire,2021,1,1
PoNY,2021,2,2
Sockeye,2021,3,T3
Rhino Slam!,2021,4,T3
Machine,2021,5,5
Truck Stop,2021,6,6
DiG,2021,7,T7
Temper,2021,8,T7
Johnny Bravo,2021,9,T9
Chain Lightning,2021,10,T9
Condors,2021,11,11
Sprout,2021,12,12
Revolver,2021,13,13
Sub Zero,2021,14,14
Killjoys,2021,15,15
Lotus,2021,16,16
Johnny Bravo,2022,1,1
Truck Stop,2022,2,2
PoNY,2022,3,T3
Rhino Slam!,2022,4,T3
Machine,2022,5,5
Ring of Fire,2022,6,6
Doublewide,2022,7,T7
Revolver,2022,8,T7
Vault,2022,9,T9
Chain Lightning,2022,10,T9
Temper,2022,11,11
Omen,2022,12,12
GOAT,2022,13,13
Sockeye,2022,14,14
Mad Men,2022,15,15
Condors,2022,16,16
Truck Stop,2023,1,1
Machine,2023,2,2
Johnny Bravo,2023,3,T3
Ring of Fire,2023,4,T3
DiG,2023,5,5
PoNY,2023,6,6
Rhino Slam!,2023,7,T7
Revolver,2023,8,T7
Furious George,2023,9,T9
Chain Lightning,2023,10,T9
Doublewide,2023,11,11
Raleigh-Durham United,2023,12,12
Sub Zero,2023,13,13
Vault,2023,14,14
Dark Star,2023,15,15
Blueprint,2023,16,16
Rhino Slam!,2024,1,1
PoNY,2024,2,2
Revolver,2024,3,T3
Machine,2024,4,T3
DiG,2024,5,5
Truck Stop,2024,6,6
Ring of Fire,2024,7,T7
Johnny Bravo,2024,8,T7
Chain Lightning,2024,9,T9
Furious George,2024,10,T9
Doublewide,2024,11,11
Mallard,2024,12,12
Sockeye,2024,13,13
Raleigh-Durham United,2024,14,14
GOAT,2024,15,15
Shrimp,2024,16,16
